id,name,address,latitude,longitude,link_2gis,working_hours,tariff,spaces,paid_free
9429940001492749,"Жолай-1, автостоянка","микрорайон Жетысу-2, 3/3",43.222533,76.844572,https://2gis.kz/almaty/firm/9429940001492749,,Не указано,Не указано,Не указано
70000001054952875,Парковка ТЦ ГУМ,,43.266966,76.947811,https://2gis.kz/almaty/firm/70000001054952875,,Не указано,Не указано,Не указано
9429940001192409,"Таугуль, автостоянка",,43.214599,76.875299,https://2gis.kz/almaty/firm/9429940001192409,,Не указано,Не указано,Не указано
70000001094185816,"Almaty Parking, парковка №2006",,43.25964,76.942117,https://2gis.kz/almaty/firm/70000001094185816,,Не указано,Не указано,Не указано
9429940000930212,Автостоянка,"микрорайон Жулдыз-2, 30/5",43.361383,76.991076,https://2gis.kz/almaty/firm/9429940000930212,,Не указано,Не указано,Не указано
9429940001704788,"Алмагуль, автостоянка","улица Жарокова, 284",43.205901,76.90519,https://2gis.kz/almaty/firm/9429940001704788,,Не указано,Не указано,Не указано
9429940001583305,"Car Land Parking, автостоянка","Ораза Жандосова улица, 33д",43.229505,76.88833,https://2gis.kz/almaty/firm/9429940001583305,,Не указано,Не указано,Не указано
9429940001520633,Автостоянка,"улица Рыскулбекова, 30",43.204904,76.872138,https://2gis.kz/almaty/firm/9429940001520633,,Не указано,Не указано,Не указано
70000001113328812,Стоянка грузовых автомобилей,"улица Макатаева, 42",43.356022,77.056039,https://2gis.kz/almaty/firm/70000001113328812,,Не указано,Не указано,Не указано
70000001083661153,Паркинг БЦ Гермес,"улица Муратбаева, 180/1",43.247147,76.920277,https://2gis.kz/almaty/firm/70000001083661153,,Не указано,Не указано,Не указано
9429940001617886,"CTC Stoun Group, автостоянка",,43.340881,76.94777,https://2gis.kz/almaty/firm/9429940001617886,,Не указано,Не указано,Не указано
70000001021027802,"Алтын Тараз, автостоянка","проспект Абылай хана, 3",43.272874,76.938395,https://2gis.kz/almaty/firm/70000001021027802,,Не указано,Не указано,Не указано
70000001060474922,TIR Parking,"улица Барыс, 46а",43.347078,76.847064,https://2gis.kz/almaty/firm/70000001060474922,,Не указано,Не указано,Не указано
70000001104890546,Теплоэнергетик,"улица Толе би, 293г",43.245574,76.845312,https://2gis.kz/almaty/firm/70000001104890546,,Не указано,Не указано,Не указано
70000001054953214,Подземная парковка ТРЦ Достык Плаза,"микрорайон Самал-2, 111",43.232612,76.956927,https://2gis.kz/almaty/firm/70000001054953214,,Не указано,Не указано,Не указано
9429940001685170,"Джамбо, автостоянка","улица Майлина, 67а",43.344836,76.988738,https://2gis.kz/almaty/firm/9429940001685170,,Не указано,Не указано,Не указано
70000001030639839,Автостоянка,"улица Айманова, 159",43.234489,76.897521,https://2gis.kz/almaty/firm/70000001030639839,,Не указано,Не указано,Не указано
9429940001499572,"Сункар, автостоянка","микрорайон Аксай-4, 117а",43.229889,76.840802,https://2gis.kz/almaty/firm/9429940001499572,,Не указано,Не указано,Не указано
9429940000794505,"Горный, автостоянка","улица Зеина Шашкина, 36/1",43.220757,76.938259,https://2gis.kz/almaty/firm/9429940000794505,,Не указано,Не указано,Не указано
9429940001304278,"Акниет, автостоянка",,43.301827,76.898687,https://2gis.kz/almaty/firm/9429940001304278,,Не указано,Не указано,Не указано
70000001019155915,Автостоянка,"улица Ураза Исаева, 140",43.248026,76.909932,https://2gis.kz/almaty/firm/70000001019155915,,Не указано,Не указано,Не указано
70000001088807309,"Круиз, автостоянка для грузовых автомобилей","трасса Алматы-Астана, 7 литА",43.463529,76.710774,https://2gis.kz/almaty/firm/70000001088807309,,Не указано,Не указано,Не указано
70000001057443666,Автостоянка ТРЦ Moscva Metropolitan,,43.228414,76.864907,https://2gis.kz/almaty/firm/70000001057443666,,Не указано,Не указано,Не указано
9429940001588606,Автостоянка,"микрорайон Аксай-1, 26а",43.241479,76.830143,https://2gis.kz/almaty/firm/9429940001588606,,Не указано,Не указано,Не указано
70000001089993664,"Sputnik Mall Parking, парковка",,43.212061,76.841764,https://2gis.kz/almaty/firm/70000001089993664,,Не указано,Не указано,Не указано
70000001057445447,"Almaty Parking, парковка №2042",,43.266087,76.934894,https://2gis.kz/almaty/firm/70000001057445447,,Не указано,Не указано,Не указано
70000001057444157,"Small, платная парковка",,43.264793,76.949277,https://2gis.kz/almaty/firm/70000001057444157,,Не указано,Не указано,Не указано
70000001054881416,"Magnum Cash & Carry, парковка",,43.218012,76.843055,https://2gis.kz/almaty/firm/70000001054881416,,Не указано,Не указано,Не указано
70000001089530729,"Almaty Parking, парковка №2016",,43.24265,76.93077,https://2gis.kz/almaty/firm/70000001089530729,,Не указано,Не указано,Не указано
70030077075115615,подземная парковка,"проспект Аль-Фараби, 41/6 блок 10",43.22777,76.936527,https://2gis.kz/almaty/firm/70030077075115615,,Не указано,Не указано,Не указано
9430468281761799,Парковка ТЦ Домилион,"проспект Турара Рыскулова, 143в",43.252939,76.838309,https://2gis.kz/almaty/firm/9430468281761799,,Не указано,Не указано,Не указано
70030076473224370,,"проспект Сейфуллина, 617",43.234067,76.934845,https://2gis.kz/almaty/firm/70030076473224370,,Не указано,Не указано,Не указано
9430468281761864,Парковка ТРЦ Mega Alma-Ata,"улица Розыбакиева, 263",43.201569,76.892161,https://2gis.kz/almaty/firm/9430468281761864,,Не указано,Не указано,Не указано
9430468281761801,Парковка ТРЦ Mega Alma-Ata,"улица Розыбакиева, 247а",43.203207,76.891661,https://2gis.kz/almaty/firm/9430468281761801,,Не указано,Не указано,Не указано
